Data e Hora;Nome do Usuário;Nível;idOperação;Descrição do Log;idUsuario;idLog
23/05/2026 09:08;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9914544 VINCULADA A CARGA ID: 166460;893;119746352
23/05/2026 09:08;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9914176 VINCULADA A CARGA ID: 166460;893;119746354
23/05/2026 09:08;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9913481 VINCULADA A CARGA ID: 166460;893;119746361
23/05/2026 09:03;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9892528 VINCULADA A CARGA ID: 166460;893;119745315
23/05/2026 09:03;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9904100 VINCULADA A CARGA ID: 166460;893;119745319
23/05/2026 09:03;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9915342 VINCULADA A CARGA ID: 166460;893;119745323
23/05/2026 09:03;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9882525 VINCULADA A CARGA ID: 166460;893;119745327
23/05/2026 09:03;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9912819 VINCULADA A CARGA ID: 166460;893;119745329
23/05/2026 09:03;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9902226 VINCULADA A CARGA ID: 166460;893;119745351
23/05/2026 09:03;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9904970 VINCULADA A CARGA ID: 166460;893;119745367
23/05/2026 08:46;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9914637 VINCULADA A CARGA ID: 166460;893;119742333
23/05/2026 08:46;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9913750 VINCULADA A CARGA ID: 166460;893;119742365
23/05/2026 08:50;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9886567 VINCULADA A CARGA ID: 166460;893;119742654
23/05/2026 08:50;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9914138 VINCULADA A CARGA ID: 166460;893;119742656
23/05/2026 08:50;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9876464 VINCULADA A CARGA ID: 166460;893;119742658
23/05/2026 08:50;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9899582 VINCULADA A CARGA ID: 166460;893;119742660
23/05/2026 08:50;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9912618 VINCULADA A CARGA ID: 166460;893;119742672
23/05/2026 08:50;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9915409 VINCULADA A CARGA ID: 166460;893;119742676
23/05/2026 08:50;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9876205 VINCULADA A CARGA ID: 166460;893;119742680
23/05/2026 08:50;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9894830 VINCULADA A CARGA ID: 166460;893;119742691
23/05/2026 08:50;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9884817 VINCULADA A CARGA ID: 166460;893;119742701
23/05/2026 08:50;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9894093 VINCULADA A CARGA ID: 166460;893;119742725
23/05/2026 08:58;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9900434 VINCULADA A CARGA ID: 166460;893;119744037
23/05/2026 08:58;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9898028 VINCULADA A CARGA ID: 166460;893;119744039
23/05/2026 08:58;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9894781 VINCULADA A CARGA ID: 166460;893;119744070
23/05/2026 08:58;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9875426 VINCULADA A CARGA ID: 166460;893;119744075
23/05/2026 08:58;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9906676 VINCULADA A CARGA ID: 166460;893;119744082
23/05/2026 08:59;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9868407 VINCULADA A CARGA ID: 166460;893;119744091
23/05/2026 08:59;PAULO.TELES;5 - OPERADOR;166460;NOTA FISCAL ID: 9906091 VINCULADA A CARGA ID: 166460;893;119744094
